category,technology,usage_all,usage_pro
Language,JavaScript,62.3,63.0
Language,HTML/CSS,53.1,52.8
Language,Python,51.2,46.8
Language,SQL,48.5,52.0
Language,TypeScript,39.8,41.7
Language,Java,29.9,33.4
Language,C#,27.1,31.0
Language,Bash/Shell,24.8,27.6
Language,C++,22.4,24.7
Language,PHP,20.0,18.1
Language,C,17.4,18.0
Language,Go,14.3,15.8
Language,PowerShell,12.1,14.9
Language,Rust,11.8,12.6
Language,Kotlin,8.2,9.1
Language,Dart,6.7,7.4
Language,R,5.1,5.7
Language,Swift,4.6,5.3
Language,Assembly,3.2,3.9
Language,Scala,2.5,2.8

Framework,React,36.5,39.0
Framework,Node.js,32.8,36.1
Framework,Next.js,27.4,28.2
Framework,Angular,18.8,21.4
Framework,Vue.js,17.3,18.9
Framework,ASP.NET Core,16.0,19.6
Framework,Express,14.9,16.2
Framework,Spring Boot,12.7,14.4
Framework,Flask,10.2,11.8
Framework,Django,9.6,10.1
Framework,FastAPI,8.3,9.7
Framework,Laravel,7.2,8.0
Framework,React Native,6.9,7.2
Framework,Blazor,4.1,5.3
Framework,Svelte,3.9,4.4
Framework,ASP.NET,3.6,4.1

Database,PostgreSQL,50.8,52.3
Database,MySQL,45.4,47.0
Database,SQLite,35.6,34.9
Database,Microsoft SQL Server,30.1,33.5
Database,Redis,21.4,22.9
Database,MongoDB,21.2,22.6
Database,Oracle,13.7,16.8
Database,Elasticsearch,12.5,14.0
Database,Firebase,11.1,10.2
Database,MariaDB,9.4,10.1
Database,DynamoDB,8.8,9.4
Database,Neo4j,4.2,4.9
Database,Cassandra,3.8,4.1
Database,CockroachDB,2.7,2.9
Database,Supabase,2.5,2.8

DevOps,Docker,53.6,58.9
DevOps,Git,48.9,51.3
DevOps,Kubernetes,31.5,35.8
DevOps,Terraform,21.8,24.5
DevOps,GitHub Actions,18.9,21.1
DevOps,Ansible,15.4,17.0
DevOps,Jenkins,14.2,16.3
DevOps,AWS,12.8,13.9
DevOps,Azure DevOps,10.1,11.2
DevOps,GitLab CI/CD,9.4,10.8
DevOps,Google Cloud,8.7,9.5
DevOps,OpenShift,4.3,5.1
DevOps,Chef,3.1,3.7
DevOps,Heroku,2.8,3.2
DevOps,Travis CI,2.1,2.3